,Open
1,2207.26001
2,2200.649902
3,2191.120117
4,2200.169922
5,2204.969971
6,2200.76001
7,2210.209961
8,2206.27002
9,2198.550049
10,2201.560059
11,2186.429932
12,2186.850098
13,2178.610107
14,2177.530029
15,2168.290039
16,2165.639893
17,2162.709961
18,2167.48999
19,2131.560059
20,2129.919922
21,2100.590088
22,2083.790039
23,2098.800049
24,2109.429932
25,2128.679932
26,2129.780029
27,2132.22998
28,2144.060059
29,2136.969971
30,2149.719971
31,2148.5
32,2139.429932
33,2142.51001
34,2140.810059
35,2138.310059
36,2132.949951
37,2139.679932
38,2130.26001
39,2137.669922
40,2161.350098
41,2160.389893
42,2164.189941
43,2158.219971
44,2155.149902
45,2163.370117
46,2164.330078
47,2156.51001
48,2168.899902
49,2161.850098
50,2146.040039
51,2158.540039
52,2173.290039
53,2170.939941
54,2144.580078
55,2145.939941
56,2143.98999
57,2146.47998
58,2125.360107
59,2127.860107
60,2150.469971
61,2120.860107
62,2169.080078
63,2182.76001
64,2185.169922
65,2181.610107
66,2177.48999
67,2171.330078
68,2173.560059
69,2179.449951
70,2170.189941
71,2175.100098
72,2173.290039
73,2185.090088
74,2187.810059
75,2181.580078
76,2184.23999
77,2181.899902
78,2177.840088
79,2186.23999
80,2186.080078
81,2183.73999
82,2177.969971
83,2182.810059
84,2182.23999
85,2183.76001
86,2168.790039
87,2163.51001
88,2156.810059
89,2169.939941
90,2173.149902
91,2168.830078
92,2166.050049
93,2169.810059
94,2168.969971
95,2173.709961
96,2166.469971
97,2172.909912
98,2166.100098
99,2163.790039
100,2162.040039
101,2165.129883
102,2157.879883
103,2153.810059
104,2139.5
105,2131.719971
106,2106.969971
107,2100.419922
108,2084.429932
109,2095.050049
110,2099.340088
111,2073.169922
112,2042.689941
113,2006.670044
114,2031.449951
115,2103.810059
116,2092.800049
117,2089.75
118,2085.189941
119,2075.580078
120,2078.199951
121,2066.360107
122,2077.600098
123,2076.649902
124,2091.75
125,2109.570068
126,2115.649902
127,2112.709961
128,2110.179932
129,2100.830078
130,2104.070068
131,2097.709961
132,2093.939941
133,2100.129883
134,2090.060059
135,2091.439941
136,2078.929932
137,2052.649902
